2026-08-23 18:51:57,027 | INFO | __main__ | === CLI run started ===
2026-08-23 18:51:57,066 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-08-23 18:51:57,066 | INFO | hr_assistant.pipeline | No Qdrant Cloud collection found, building one from scratch
2026-08-23 18:51:57,066 | INFO | hr_assistant.document_loader | Loading document from 'data\hr_policy.txt'
2026-08-23 18:51:57,066 | INFO | hr_assistant.document_loader | Loaded 1 document(s)
2026-08-23 18:51:57,066 | INFO | hr_assistant.splitter | Split document(s) into 9 chunk(s)
2026-08-23 18:51:57,080 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-08-23 18:52:03,790 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-08-23 18:52:03,790 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-08-23 18:52:03,790 | INFO | faiss.loader | Loading faiss.
2026-08-23 18:52:04,055 | INFO | faiss.loader | Successfully loaded faiss.
2026-08-23 18:52:04,587 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-08-23 18:52:04,609 | INFO | hr_assistant.agent | HR agent ready
2026-08-23 18:52:04,609 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-08-23 18:52:05,256 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-23 18:52:05,320 | INFO | hr_assistant.tools | search_hr_policy called with query: How many paid annual leave days do I get?
2026-08-23 18:52:09,708 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-08-23 18:52:10,124 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-23 18:52:10,178 | INFO | __main__ | === CLI run finished ===
2026-08-23 18:52:10,560 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-23 18:52:10,560 | INFO | hr_assistant.tools | search_hr_policy called with query: notice period during probation
2026-08-23 18:52:11,070 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-08-23 18:52:11,505 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-23 18:52:11,505 | INFO | __main__ | === CLI run finished ===
2026-08-23 18:52:12,010 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-23 18:52:12,010 | INFO | hr_assistant.tools | search_hr_policy called with query: work from home policy
2026-08-23 18:52:12,724 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-08-23 18:52:13,272 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-23 18:52:13,287 | INFO | __main__ | === CLI run finished ===
