2026-09-06 00:24:39,980 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-06 00:24:39,981 | INFO | hr_assistant.pipeline | No Qdrant Cloud collection found, building one from scratch
2026-09-06 00:24:39,982 | INFO | hr_assistant.document_loader | Loading document from 'data\hr_policy.txt'
2026-09-06 00:24:39,984 | INFO | hr_assistant.document_loader | Loaded 1 document(s)
2026-09-06 00:24:39,985 | INFO | hr_assistant.splitter | Split document(s) into 9 chunk(s)
2026-09-06 00:24:39,986 | INFO | hr_assistant.vector_store | Embedding 9 chunk(s) and building FAISS index in memory
2026-09-06 00:24:39,987 | INFO | hr_assistant.embeddings | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-09-06 00:24:41,099 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-09-06 00:24:41,101 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-09-06 00:24:41,101 | INFO | faiss.loader | Loading faiss.
2026-09-06 00:24:41,278 | INFO | faiss.loader | Successfully loaded faiss.
2026-09-06 00:24:41,315 | INFO | hr_assistant.vector_store | FAISS index built in memory
2026-09-06 00:24:41,315 | INFO | hr_assistant.vector_store | Returning retriever for vector store with top_k=3
2026-09-06 00:24:41,334 | INFO | hr_assistant.llm | Initializing LLM 'openai/gpt-oss-20b'
2026-09-06 00:24:42,322 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-06 00:24:42,396 | INFO | hr_assistant.agent | HR agent ready
2026-09-06 00:24:42,397 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-09-06 00:24:46,011 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-06 00:24:46,737 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 00:33:11,022 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-06 00:33:11,814 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 00:33:11,874 | INFO | hr_assistant.tools | search_hr_policy called with query: i love you
2026-09-06 00:33:12,962 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-06 00:33:13,566 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
